name,handle,party,state,gender
Tammy Baldwin,baldwin.senate.gov,D,WI,F
Patty Murray,murray.senate.gov,D,WA,F
Maria Cantwell,cantwell.senate.gov,D,WA,F
Mark Warner,markwarner.bsky.social,D,VA,M
Tim Kaine,kaine.senate.gov,D,VA,M
Bernie Sanders,sanders.senate.gov,I,VT,M
Sheldon Whitehouse,whitehouse.senate.gov,D,RI,M
Jack Reed,reed.senate.gov,D,RI,M
John Fetterman,fetterman.senate.gov,D,PA,M
Ron Wyden,wyden.senate.gov,D,OR,M
Jeff Merkley,jeff-merkley.bsky.social,D,OR,M
Chuck Schumer,schumer.senate.gov,D,NY,M
Kirsten Gillibrand,kirstengillibrand.bsky.social,D,NY,F
Ben Ray Lujan,lujan.senate.gov,D,NM,M
Martin Heinrich,heinrich.senate.gov,D,NM,M
Andy Kim,kim.senate.gov,D,NJ,M
Cory Booker,booker.senate.gov,D,NJ,M
Jeanne Shaheen,shaheen.senate.gov,D,NH,F
Maggie Hassan,hassan.senate.gov,D,NH,F
Tina Smith,smith.senate.gov,D,MN,F
Amy Klobuchar,klobuchar.senate.gov,D,MN,F
Elissa Slotkin,slotkin.senate.gov,D,MI,F
Gary Peters,peters.senate.gov,D,MI,M
Elizabeth Warren,warren.senate.gov,D,MA,F
Ed Markey,markey.senate.gov,D,MA,M
Chris Van Hollen,vanhollen.senate.gov,D,MD,M
Angela Alsobrooks,alsobrooks.senate.gov,D,MD,F
Dick Durbin,durbin.senate.gov,D,IL,M
Tammy Duckworth,duckworth.senate.gov,D,IL,F
Brian Schatz,schatz.bsky.social,D,HI,M
Mazie Hirono,hirono.senate.gov,D,HI,F
Raphael Warnock,warnock.senate.gov,D,GA,M
Jon Ossoff,ossoff.bsky.social,D,GA,M
Chris Coons,coons.senate.gov,D,DE,M
Lisa Blunt Rochester,bluntrochester.senate.gov,D,DE,F
Chris Murphy,chrismurphyct.bsky.social,D,CT,M
Richard Blumenthal,blumenthal.senate.gov,D,CT,M
Michael Bennet,bennet.senate.gov,D,CO,M
Adam Schiff,schiff.senate.gov,D,CA,M
Alex Padilla,padilla.senate.gov,D,CA,M
Mark Kelly,captmarkkelly.bsky.social,D,AZ,M
Ruben Gallego,gallego.senate.gov,D,AZ,M
